Name,Location,Specialization,Rating,Availability,9AM,10AM,11AM,12PM,1PM,2PM,3PM,4PM,5PM
Dr. Elizabeth Baker,Dallas,Orthopedic Surgeon,2,0,1,0,0,0,0,0,1,1,0
Dr. Noah Hill,Chicago,Neurologist,5,1,1,1,1,1,0,1,1,0,0
Dr. Evelyn Cook,San Diego,Vascular Surgeon,1,0,1,0,1,1,0,1,1,1,0
Dr. Ethan Coleman,New York,Orthopedic Surgeon,4,0,0,1,1,1,1,1,1,1,1
Dr. Sophia Wright,Philadelphia,Cardiologist,2,0,0,0,1,1,1,0,0,0,0
Dr. Chloe Stewart,New York,General Practitioner (GP),4,1,0,1,1,1,1,1,1,1,0
Dr. Olivia Bailey,Phoenix,Allergist/Immunologist,3,0,1,1,0,1,1,1,0,0,0
Dr. William Garcia,San Antonio,Rheumatologist,4,0,0,0,1,1,0,0,1,1,0
Dr. Isabella Cook,Philadelphia,Pulmonologist,4,1,1,0,0,1,1,1,1,0,1
Dr. Olivia Roberts,Los Angeles,Neurologist,3,0,0,1,0,1,0,1,0,1,0
Dr. Olivia Davis,Houston,Orthopedic Surgeon,4,0,1,1,1,1,1,0,0,1,1
Dr. James Martinez,San Antonio,Neurologist,4,0,1,0,0,1,0,0,1,1,0
Dr. Ava Garcia,Chicago,Rheumatologist,2,1,0,0,0,1,1,0,0,0,0
Dr. Olivia Coleman,Houston,Pharmacologist,3,0,0,1,0,1,0,1,0,1,1
Dr. Amelia Anderson,New York,Urologist,2,1,0,1,0,1,0,0,1,0,0
Dr. Charlotte Morris,Chicago,Proctologist,1,0,0,0,1,0,0,0,0,1,0
Dr. Ava Wilson,Houston,General Practitioner (GP),3,1,1,0,1,1,0,1,0,1,1
Dr. Sophia Hill,Dallas,Infectious Disease Specialist,4,1,0,1,0,1,0,0,1,0,1
Dr. Daniel Evans,San Diego,Endocrinologist,3,0,0,0,0,0,0,0,0,1,0
Dr. Charlotte Jones,Houston,Endocrinologist,2,1,1,1,0,1,1,1,1,1,0
