Disease,Specialization
Acne,Dermatologist
Hyperthyroidism,Endocrinologist
AIDS,Infectious Disease Specialist
Chronic cholestasis,Gastroenterologist
Hypertension,Cardiologist
Hypoglycemia,Endocrinologist
Arthritis,Rheumatologist
Hepatitis B,Gastroenterologist
Migraine,Neurologist
Urinary tract infection,Urologist
Diabetes,Endocrinologist
Hepatitis D,Gastroenterologist
Psoriasis,Dermatologist
Alcoholic hepatitis,Gastroenterologist
Dimorphic hemmorhoids(piles),Proctologist
Hepatitis E,Gastroenterologist
Cervical spondylosis,Orthopedic Surgeon
Bronchial Asthma,Pulmonologist
Hepatitis A,Gastroenterologist
Allergy,Allergist/Immunologist
Hepatitis C,Gastroenterologist
Pneumonia,Pulmonologist
Hypothyroidism,Endocrinologist
Gastroenteritis,Gastroenterologist
Varicose veins,Vascular Surgeon
Jaundice,Gastroenterologist
Drug Reaction,Pharmacologist
(vertigo) Paroymsal Positional Vertigo,"Ear, Nose, and Throat (ENT) Specialist"
Heart attack,Cardiologist
Tuberculosis,Infectious Disease Specialist
Typhoid,Infectious Disease Specialist
Common Cold,General Practitioner (GP)
Peptic ulcer diseae,Gastroenterologist
Paralysis (brain hemorrhage),Neurologist
Fungal infection,Dermatologist
Impetigo,Dermatologist
GERD,Gastroenterologist
Dengue,Infectious Disease Specialist
Malaria,Infectious Disease Specialist
Chicken pox,Infectious Disease Specialist
Osteoarthristis,Rheumatologist
